Player Name,#,Yr,Pos,GP,GS,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Abigail Trapp,,Sr,M,20.0,20.0,2.0,4.0,8.0,7.0,,,,2.0,
Alice Stein,,Fr,,20.0,19.0,10.0,1.0,21.0,41.0,,,,2.0,
Ava Giardino,,So,M,3.0,0.0,,,0.0,,,,1.0,,
Brynn Bickel,,Jr,B,17.0,9.0,,,0.0,,,,,1.0,
Carolina Sanchez,,So,M,20.0,20.0,,,0.0,1.0,,,,,
Caroline Frost,,Sr,F,16.0,1.0,,,0.0,7.0,,,,,
Erica Pardon,,Jr,F,20.0,20.0,8.0,10.0,26.0,53.0,,,1.0,,
Holly Vincent,,Sr,M,20.0,20.0,2.0,7.0,11.0,55.0,,,,3.0,
Joelle McElroy,,Sr,M,20.0,20.0,,,0.0,2.0,1.0,,2.0,1.0,
Kendall Fleet,,Jr,B,20.0,5.0,,1.0,1.0,4.0,,,,1.0,
Lily Gover,,So,M,20.0,17.0,1.0,,2.0,20.0,1.0,,,1.0,
Lindsey Turner,,Jr,F,10.0,0.0,,,0.0,1.0,,,,,
Louisa Coughlin,,Jr,B,20.0,20.0,7.0,2.0,16.0,27.0,,,,1.0,1.0
Naomi York,,Sr,F,20.0,20.0,11.0,2.0,24.0,36.0,,,1.0,4.0,1.0
Opponent Totals,,-,-,-,-,22.0,18.0,62.0,216.0,597.0,,2.0,11.0,9.0
Poppy Swallow,,Jr,M,20.0,1.0,,2.0,2.0,7.0,,,,,
TEAM,,-,-,-,-,,,0.0,,670.0,,,,
Totals,,-,-,-,-,41.0,29.0,111.0,264.0,672.0,,5.0,16.0,2.0
