Player Name,Season,#,Yr,Pos,GP,GS,Goals,AST,PTS,ShAtt,Fouls,RC,YC,GC,DSv
Naomi York,Unknown,,Sr,F,20,20,11,2,24,36,,,1,4,1
Joelle McElroy,Unknown,,Sr,M,20,20,,,0,2,1,,2,1,
Abigail Trapp,Unknown,,Sr,M,20,20,2,4,8,7,,,,2,
Holly Vincent,Unknown,,Sr,M,20,20,2,7,11,55,,,,3,
Caroline Frost,Unknown,,Sr,F,16,1,,,0,7,,,,,
Lindsey Turner,Unknown,,Jr,F,10,0,,,0,1,,,,,
Erica Pardon,Unknown,,Jr,F,20,20,8,10,26,53,,,1,,
Kendall Fleet,Unknown,,Jr,B,20,5,,1,1,4,,,,1,
Louisa Coughlin,Unknown,,Jr,B,20,20,7,2,16,27,,,,1,1
Brynn Bickel,Unknown,,Jr,B,17,9,,,0,,,,,1,
Poppy Swallow,Unknown,,Jr,M,20,1,,2,2,7,,,,,
Ava Giardino,Unknown,,So,M,3,0,,,0,,,,1,,
Lily Gover,Unknown,,So,M,20,17,1,,2,20,1,,,1,
Carolina Sanchez,Unknown,,So,M,20,20,,,0,1,,,,,
Alice Stein,Unknown,,Fr,,20,19,10,1,21,41,,,,2,
TEAM,Unknown,,-,-,-,-,,,0,,670,,,,
Totals,Unknown,,-,-,-,-,41,29,111,264,672,,5,16,2
Opponent Totals,Unknown,,-,-,-,-,22,18,62,216,597,,2,11,9
