#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb,Points
1,Sanil Kagawala,Haverford,8,8,34.0,201,10,25/ 4,0,102,5.91,20.1,20.4,0,1,0,35,2,300
2,Anuj Poddar,Haverford,6,6,16.2,110,10,35/ 3,0,47,6.73,11.0,9.8,0,0,0,12,3,250
3,Ishpuneet Singh,Haverford,8,8,37.4,187,9,8/ 3,1,127,4.96,20.78,25.1,0,0,0,19,4,340
4,Nihaal Kochar,Haverford,8,8,36.4,181,8,27/ 2,2,137,4.94,22.62,27.5,0,0,0,18,8,330
5,Manoj Pandey,BOCC,1,1,5.0,10,4,10/ 4,1,23,2.0,2.5,7.5,0,1,0,3,0,180
6,Prajwal K,Penn Alumni,1,1,3.0,11,3,11/ 3,0,11,3.67,3.67,6.0,0,0,0,2,0,100
7,Aryaman Meswani,Penn,1,1,5.0,21,3,21/ 3,1,18,4.2,7.0,10.0,0,0,0,3,1,130
8,Niraj Muni,Merion CC,1,1,2.0,0,2,0/ 2,2,12,0.0,0.0,6.0,0,0,0,0,0,160
9,Vishnu Cooblall,Merion CC,2,2,10.0,33,2,9/ 1,2,36,3.3,16.5,30.0,0,0,0,1,0,160
10,Tahir Maqsood,Merion CC,1,1,4.0,19,2,19/ 2,0,12,4.75,9.5,12.0,0,0,0,2,0,60
11,Manas Choure,Penn,1,1,4.0,26,2,26/ 2,0,15,6.5,13.0,12.0,0,0,0,1,2,50
12,Rustom Dubash,Haverford,8,7,18.0,138,2,35/ 2,0,54,7.67,69.0,54.0,0,0,0,37,3,10
13,Vilok X,Germantown CC,1,1,5.0,43,2,43/ 2,0,13,8.6,21.5,15.0,0,0,0,4,1,40
14,Rohan Sarma,Haverford,8,7,7.4,68,2,0/ 1,0,20,8.87,34.0,23.0,0,0,0,4,4,50
15,Churchill Huston,Merion CC,1,1,3.0,7,1,7/ 1,0,16,2.33,7.0,18.0,0,0,0,4,0,40
16,Jagen X,Germantown CC,1,1,5.0,12,1,12/ 1,0,21,2.4,12.0,30.0,0,0,0,1,0,40
17,Divanshu X,Penn Alumni,1,1,3.0,10,1,10/ 1,0,12,3.33,10.0,18.0,0,0,0,2,0,40
18,Kunal Singh,Merion CC,1,1,5.0,17,1,17/ 1,1,20,3.4,17.0,30.0,0,0,0,3,0,80
19,Andrew B,Merion CC,1,1,5.0,20,1,20/ 1,0,20,4.0,20.0,30.0,0,0,0,3,1,30
20,Bilal Hassan,Merion CC,2,2,5.0,22,1,20/ 1,0,16,4.4,22.0,30.0,0,0,0,4,1,30
21,Rehaan Kumar,Penn,1,1,5.0,23,1,23/ 1,1,17,4.6,23.0,30.0,0,0,0,2,0,70
22,Arul Kumar,Penn Alumni,1,1,3.0,14,1,14/ 1,0,11,4.67,14.0,18.0,0,0,0,4,1,30
23,Vishnu Reddy,Penn Alumni,1,1,3.0,14,1,14/ 1,0,13,4.67,14.0,18.0,0,0,0,5,0,30
24,Hamad Abdullah,Penn,1,1,4.0,20,1,20/ 1,0,17,5.0,20.0,24.0,0,0,0,5,0,30
25,Ishaan Bansal,BOCC,1,1,4.0,20,1,20/ 1,0,16,5.0,20.0,24.0,0,0,0,1,0,30
26,Ahsan Haseeb,Merion CC,1,1,2.0,13,1,13/ 1,0,9,6.5,13.0,12.0,0,0,0,3,1,20
27,Feroze X,Germantown CC,1,1,4.0,26,1,26/ 1,0,8,6.5,26.0,24.0,0,0,0,0,1,20
28,Ron X,Amwell Valley CC,1,1,5.0,33,1,33/ 1,0,16,6.6,33.0,30.0,0,0,0,10,1,20
29,Aminul Nuhash,Drexel CC,1,1,5.0,34,1,34/ 1,0,11,6.8,34.0,30.0,0,0,0,1,1,20
30,Rahul X,Penn Alumni,1,1,1.5,13,1,13/ 1,0,8,7.09,13.0,11.0,0,0,0,1,0,20
31,Adi Reddy,Penn Alumni,1,1,2.0,15,1,15/ 1,0,10,7.5,15.0,12.0,0,0,0,7,1,20
32,Anish Haverford,Drexel CC,1,1,2.0,20,1,20/ 1,0,4,10.0,20.0,12.0,0,0,0,0,0,0
33,Agastya Singh,Haverford,8,2,7.0,82,1,51/ 1,0,16,11.71,82.0,42.0,0,0,0,10,4,-30
34,Agrim Kalia,Drexel CC,1,1,3.0,39,1,39/ 1,0,3,13.0,39.0,18.0,0,0,0,4,0,-10
