Batting_#,Player,Batting_Team,Batting_Mat,Batting_Inns,Batting_NO,Batting_Runs,Batting_4's,Batting_6's,Batting_50's,Batting_100's,Batting_HS,Batting_SR,Batting_Avg,Batting_Points,Bowling_#,Bowling_Team,Bowling_Mat,Bowling_Inns,Bowling_Overs,Bowling_Runs,Bowling_Wkts,Bowling_BBF,Bowling_Mdns,Bowling_dots,Bowling_Econ,Bowling_Avg,Bowling_SR,Bowling_Hat-trick,Bowling_4w,Bowling_5w,Bowling_Wides,Bowling_Nb,Bowling_Points,Fielding_#,Fielding_Team,Fielding_Matches,Fielding_Catches,Fielding_WK Catches,Fielding_Direct RO,Fielding_InDirect RO,Fielding_Stumpings,Fielding_Total,Fielding_Points
2,Agastya Singh,Haverford,8,8,1,273,22,7,1,1,124,115.68,39.00,787,33,Haverford,8,2,7.0,82,1,51/ 1,0,16,11.71,82.00,42.0,0,0,0,10,4,-30,1,Haverford,8,0,6,0,1,1,8,90
19,Anuj Poddar,Haverford,6,5,3,24,1,0,0,0,6,29.27,12.00,-15,2,Haverford,6,6,16.2,110,10,35/ 3,0,47,6.73,11.00,9.8,0,0,0,12,3,250,,,,,,,,,,
35,Calder Rahn,Haverford,8,5,2,12,1,0,0,0,8,46.15,4.00,-7,,,,,,,,,,,,,,,,,,,,31,Haverford,8,1,0,0,0,0,1,10
5,Ishpuneet Singh,Haverford,8,7,1,55,2,0,0,0,16,73.33,9.17,87,3,Haverford,8,8,37.4,187,9,8/ 3,1,127,4.96,20.78,25.1,0,0,0,19,4,340,4,Haverford,8,3,0,0,0,0,3,30
1,Nihaal Kochar,Haverford,8,8,1,341,24,15,1,1,112,127.24,48.71,977,4,Haverford,8,8,36.4,181,8,27/ 2,2,137,4.94,22.62,27.5,0,0,0,18,8,330,3,Haverford,8,3,0,1,1,0,5,60
31,Rohan Sarma,Haverford,8,5,1,16,0,0,0,0,10,39.02,4.00,6,14,Haverford,8,7,7.4,68,2,0/ 1,0,20,8.87,34.00,23.0,0,0,0,4,4,50,5,Haverford,8,3,0,0,0,0,3,30
4,Rustom Dubash,Haverford,8,8,0,58,0,0,0,0,20,40.56,7.25,48,12,Haverford,8,7,18.0,138,2,35/ 2,0,54,7.67,69.00,54.0,0,0,0,37,3,10,18,Haverford,8,1,0,0,0,0,1,10
3,Sanil Kagawala,Haverford,8,8,2,234,13,11,3,0,63,120.62,39.00,745,1,Haverford,8,8,34.0,201,10,25/ 4,0,102,5.91,20.10,20.4,0,1,0,35,2,300,2,Haverford,8,7,0,0,0,0,7,70
25,Vivaan Hingad,Haverford,8,6,1,20,0,0,0,0,14,29.41,4.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Yadna Prasad,Haverford,7,3,3,1,0,0,0,0,1,3.70,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
