Player Name,#,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,Avg,PTS,ORebs,DRebs,Tot Reb,Avg,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ,Tech Fouls,Effective FG Pct.,Bench
Isaac Varghese,,Jr,G,6-1,13,1,203:49,24,70,34.29,14,38,36.84,9,11,81.82,1.23,71,4,12,16,1.23,14,20,7,1,14,,,,,1.000,0
Seth Anderson,,Jr,F,6-8,13,1,206:24,18,51,35.29,5,19,26.32,3,5,60.00,4.08,44,22,31,53,4.08,14,13,5,2,16,,,,,2.000,0
Gaven Marr,,Jr,G,6-3,7,4,125:00,20,54,37.04,11,28,39.29,11,15,73.33,2.57,62,3,15,18,2.57,9,12,8,1,5,,,,,,0
Raja Coleman,,Jr,G,5-9,13,5,253:46,24,74,32.43,17,52,32.69,12,22,54.55,1.92,77,4,21,25,1.92,18,22,7,,30,,,1,,,0
Alex George,,So,G,6-1,13,11,265:25,17,30,56.67,,3,0.00,11,15,73.33,1.31,45,10,7,17,1.31,30,14,7,1,24,,,,,3.000,0
Carter Warren,,So,G,5-10,13,8,252:46,22,83,26.51,16,66,24.24,13,17,76.47,2.92,73,10,28,38,2.92,41,28,13,1,32,,,1,,,0
Christian Uremovich,,So,F,6-6,13,12,253:01,54,95,56.84,,,,16,20,80.00,3.62,124,16,31,47,3.62,19,9,8,4,10,,,,1,,0
Henry Nam,,So,G,6-6,7,0,22:02,4,7,57.14,2,2,100.00,,,,0.57,10,3,1,4,0.57,1,2,,,,,,,,,0
Ian Hochman,,So,F,6-6,9,0,41:55,2,8,25.00,1,3,33.33,,,,1.22,5,3,8,11,1.22,,1,1,1,4,,,,,1.000,0
Adam Strong-Jacobson,,So,F,6-7,13,12,272:24,57,91,62.64,8,16,50.00,37,57,64.91,8.38,159,34,75,109,8.38,15,24,15,17,19,5,,,,1.000,0
Lawson Holland,,Fr,G,6-2,8,0,31:01,4,10,40.00,4,10,40.00,,,,0.63,12,2,3,5,0.63,,2,2,1,4,,,,,1.000,0
Niko Rizos,,Fr,G,6-5,13,1,197:28,25,59,42.37,2,12,16.67,13,24,54.17,5.62,65,23,50,73,5.62,14,15,7,10,25,1,,,,,0
Emmanuel Cheung Hernandez,,Fr,G,6-2,13,1,156:49,29,62,46.77,2,4,50.00,12,26,46.15,3.31,72,23,20,43,3.31,13,23,12,1,33,,,1,,2.000,0
Kae Kilic,,Fr,G,5-10,10,0,44:24,11,14,78.57,8,11,72.73,4,5,80.00,0.70,34,2,5,7,0.70,3,2,2,,2,,,,,5.000,0
Tyler Nolan,,Fr,G,6-3,13,9,252:32,35,112,31.25,21,68,30.88,21,31,67.74,2.85,112,13,24,37,2.85,8,16,14,3,25,,,,,,0
Josh Ho,,Fr,G,6-2,7,0,21:13,4,10,40.00,,1,0.00,4,6,66.67,0.29,12,,2,2,0.29,1,1,1,,,,,,,1.000,0
TEAM,,-,-,-,-,-,,,,,,,,,,,,,18,30,48,,,3,,,,,,,,,
Totals,,-,-,-,-,-,2599:59,350,830,42.17,111,333,33.33,166,254,65.35,42.54,977,190,363,553,42.54,200,207,109,43,243,13,12,3,1,,464
Opponent Totals,,-,-,-,-,-,2600:00,311,783,39.72,95,298,31.88,184,255,72.16,36.08,901,144,325,469,36.08,145,199,103,35,211,13,11,,3,,255
