Player Name,#,Yr,Pos,Ht,GP,GS,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,PK,PK Att,Corners,GWG
Andrew Fritz,,Sr,F,-,20,14,2,1,33,14,4,,1,,,,1
Conrad Coyanda-Parkzes,,Sr,D,-,10,3,,,4,1,2,,1,,,,
Gabe Knopf,,Sr,M,-,20,19,1,1,15,6,5,,2,,,,1
Kieran Kunihiro,,Sr,D,-,20,20,3,1,18,8,9,,1,,,,1
Juan Rivera,,Sr,M,-,20,20,2,3,14,7,5,,,1,1,,
Saylen Cardoni,,Jr,M,-,6,0,,,5,1,2,,1,,,,
Josh Brown,,Jr,MD,-,17,15,2,1,20,4,4,,1,,,,1
Carter Kroenke,,Jr,D,-,20,18,,1,6,3,5,,3,,,,
Max Lovinger,,Jr,M,-,5,0,,1,7,3,,,,,,,
Aidan Lacy,,Jr,M,-,2,0,,,1,1,,,,,,,
Thomas Vanni,,Jr,M,-,19,19,2,9,46,21,11,,,,,,
John Dowd,,Jr,M,-,20,11,2,,17,6,13,,1,,,,1
Jack Bonner,,Jr,M,-,17,0,2,,17,8,7,1,1,,,,
Grayson Benson,,Fr,GK,-,20,20,,,,,,,,,,,
Simon Bank,,So,GK,6-0,1,0,,,,,,,,,,,
Pavel Yurkov,,So,MD,6-0,4,0,1,1,5,1,3,,,,,,
Aaron Park,,So,M,5-9,19,1,,1,7,3,6,,,,,,
Jonathan D'Amour,,So,M,6-0,20,13,5,1,29,12,7,,3,1,1,,1
Tyler Jones,,So,D,5-11,4,1,,,,,,,,,,,
Aidan Rodriguez,,So,F,5-10,3,0,1,,4,2,2,,,,,,
Ollie McNamara,,So,GK,6-4,1,0,,,,,,,,,,,
Sho Nadata,,Fr,F,5-6,14,4,1,2,9,1,5,,1,,,,
Sam Kinsey,,Fr,D,5-11,2,0,,,1,,2,,,,,,
Thomas Zamsky,,Fr,M,5-9,3,0,,,1,1,,,,,,,
Aidan Wong,,Fr,M,5-11,2,0,1,,1,1,1,,,,,,
Aiden Lee,,Fr,M,5-9,17,5,2,1,9,3,7,,1,,,,1
James Smith,,Fr,M,5-8,2,0,,,,,,,,,,,
Max McKinney,,Fr,M,5-11,20,19,1,,5,2,6,,1,,,,1
Cooper Cohen,,Fr,D,6-1,6,3,1,,2,2,2,,,,,,
Alex Kushnir,,Fr,F,6-4,1,0,,1,5,1,2,,1,,1,,
Charles Sharp,,Fr,F,6-0,20,15,5,3,53,19,16,,1,,,,2
TEAM,,-,-,-,-,-,,,,,78,,1,,,,
Totals,,-,-,-,-,-,34,28,334,131,204,1,21,2,3,90,10
Opponent Totals,,-,-,-,-,-,9,4,144,54,201,1,31,1,1,71,
