Athlete Name,TFRR ID,"10,000",100H,1500,200,3 MILE (XC),300,3000,3000S,400,400H,5000,5K (XC),60H,6K (XC),800,HJ,HT,JT,LJ,MILE,PENT,SP,TJ
"TAYLOR  ALLERT
(SO-2)",8984906,,,,,,,,,,,,,,,,,,,,,,,
"BETTY BARAKI
(SO-2)",8984908,,,,,,,,,,,,,,,,,,,,,,,
"ANNA BERRY
(JR-3)",8637619,,,,,20:49.9,,,,,,,,,,,,,,,5:57.75,,,
"MAGGIE BLANFORD
(FR-1)",9257958,,,,,,,,,,,,,,,,,,,,,,,
"MAGGIE BLANFORD
(FR-1)",9257953,,,,,,,,,,,,,,,,,,,,,,,
"Carter, Audrey",8274440,,,,,,,,,,,,,,,,,,,,,,,
"EMERY CASUCCI
(SO-2)",8920835,,,,,23:51.0,,,,,,,,,28:40.7,2:36.12,,,,,,,,
"GRACE CHEN
(JR-3)",8637625,40:36.15,,,,19:55.0,,11:04.64,,,,18:48.67,,,23:12.7,,,,,,,,,
"KEIKO CHINEN
(FR-1)",9257954,,,,,,,,,,,,,,,,,,,,,,,
"KEIKO CHINEN
(FR-1)",9257944,,,,,,,,,,,,,,,,,,,,,,,
"POPPY CHRISMAN
(JR-3)",8637628,,,,,21:06.1,,11:19.90,,,,20:14.20,20:51.6,,,,,,,,5:47.27,,,
"ADRIANA CRUZ SOTO
(JR-3)",8693115,,,,27.98,,,,,1:06.73,,,,,,,,,,"4.92m
(0.3)



       
      
16' 1.75""",,,,
"OLIVIA D'AULERIO
(SR-4)",8331644,,,,"25.85
(0.5)",,41.72,,,57.58,,,,,,2:23.93,,,,,,,,
"TANIYA DENSON
(FR-1)",9257947,,,,,,,,,,,,,,,,,,,,,,,
"BEATRICE DI GIROLAMO
(SO-2)",8984909,,"16.27
(-0.5)",,,,,,,,,,,9.98,,,"1.42m



       
      
4' 7.75""",,"19.06m



       
      
62' 6""","5.13m
(0.9)



       
      
16' 10""",,2529,"9.22m



       
      
30' 3""",
"SOPHIA FURMAN
(SR-4)",8274446,,,,,21:13.0,,,,,,,,,25:52.7,2:32.90,,,,,5:59.71,,,
"TESS  GREATON
(FR-1)",9257943,,,,,,,,,,,,,,,,,,,,,,,
"GRACE HANNIGAN
(JR-3)",8637621,,,,,22:06.9,,,,,,,23:42.8,,,,,,,"5.15m
(0.6)



       
      
16' 10.75""",,,,"10.62m
(+0.0)



       
      
34' 10.25"""
"JESSIE HAUSMAN
(SR-4)",8274443,,,5:05.88,,19:33.0,,,,,,,20:12.4,,,,,,,,5:44.03,,,
"ANASTASIA JAYCOBS
(JR-3)",8637624,,,4:55.68,,19:13.0,,,,,,,19:31.5,,,,,,,,,,,
"VERONICA KANACHOVA
(SO-2)",8984907,,,,,,,,,,,,,,,,,,,,,,,
"NATALIE KRUGLYAK
(SO-2)",8920833,,,,,23:13.0,,,,,,,24:54.2,,,,,,,,6:36.61,,,
"MADISON LEWIS
(FR-1)",9257950,,,,,,,,,,,,,,,,,,,,,,,
"LORELEI  MIDDLETON
(FR-1)",9257945,,,,,,,,,,,,,,,,,,,,,,,
"ABIGAIL MIYAKE
(JR-3)",8984905,,,,,,,,,1:14.11,,,,,,,,,,,,,,
"BIANCA ORTIZ
(SO-2)",8920832,,,,,20:47.0,,11:18.96,,,,,21:11.4,,,,,,,,5:41.92,,,
"CLAIRE PARSONS
(JR-3)",8637622,46:29.79,,,,22:15.1,,12:43.10,,,,22:07.62,,,27:20.7,,,,,,,,,
"MAIA POREMBA
(SO-2)",8920830,,,,,20:23.0,,,,,,,,,23:35.1,,,,,,6:01.31,,,
"CARLY PRIEST
(SR-4)",8274437,,,,,20:25.0,,,,,,,,,,,,,,,5:46.05,,,
"ADRIANA ROGOW
(FR-1)",9257952,,,,,,,,,,,,,,,,,,,,,,,
"MADELINE RUCHELMAN
(FR-1)",9257949,,,,,,,,,,,,,,,,,,,,,,,
"ABBY RYAN
(SR-4)",8498328,,,,,,,,,1:06.44,1:12.32,,,,,,,,,,,,,
"ZOFI SANDERS
(SO-2)",8984910,,,,"29.41
(+0.0)",,,,,,,,,,,,,,,"4.29m
(0.8)



       
      
14' 1""",,,,"8.84m
(+0.0)



       
      
29' 0"""
"ALICE SAPPENFIELD
(JR-3)",8637626,,,,,19:07.0,,11:12.06,11:59.77,,,,19:27.3,,,,,,,,,,,
"SAVANNAH SHAW
(SR-4)",8637620,,,,,19:15.9,,,11:42.61,,,,19:42.7,,,,,,,,5:18.80,,,
"DALIA SMID
(SO-2)",8920834,,,,,20:22.0,,,,,,20:11.20,21:08.9,,,,,,,,5:54.20,,,
"KATIE  STRUTTON
(SO-2)",8920831,,,,,22:58.0,,12:57.65,,,,,,,28:29.8,2:56.81,,,,,,,,
"NADINE TANG
(JR-3)",8693114,,,,"27.44
(1.0)",,,,,,,,,,,,,,,,,,,
"DEVYN TELLEEN
(FR-1)",9257956,,,,,,,,,,,,,,,,,,,,,,,
"SARAH WILCHER
(SR-4)",8331665,,,,,,,,,,,,,,,,,"47.25m



       
      
155' 0""",,,,,,
"JUDY XIE
(JR-3)",8637623,,,5:47.90,,22:46.9,,,,,,22:44.42,,,28:05.6,,,,,,6:18.77,,,
