Player Name,#,Yr,Pos,Ht,GP,GS,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl
Izabela Potocnjak,,Sr,RS,6-0,28,28,103,146,84,538,0.115,3,44,28,78,9,,1,55,9,218.5,1,
Eliana Brown,,Sr,OH,5-11,28,27,103,266,120,877,0.166,29,35,31,329,631,48,1,43,,323.5,3,
Kayla Chu,,Sr,S,5-8,25,7,85,10,1,30,0.300,295,25,17,137,6,1,,,,35.0,1,
Cameryn DeBlecourt,,Sr,S,5-7,27,21,100,30,3,98,0.276,496,41,23,201,5,1,,,,71.0,6,
Dasha Igonin,,Jr,S,5-7,21,1,74,9,1,47,0.170,216,24,21,109,1,,,,,33.0,3,
Gia Frank,,Jr,OPP,6-3,16,14,53,107,35,267,0.270,1,,,22,2,1,5,29,,126.5,,
Kira Chaney,,Jr,OH,5-10,28,4,96,0,4,22,-0.182,64,27,30,313,443,24,,,,27.0,,
Fiona Moord,,So,MB,6-2,28,9,105,182,74,470,0.230,5,,,23,3,,18,95,4,247.5,,
Maggie Turner,,So,MB,6-2,28,18,105,93,21,258,0.279,8,,,19,3,1,9,91,4,147.5,,
Olivia DeVille,,So,OH,5-10,14,1,30,5,7,22,-0.091,2,7,11,24,33,7,,1,2,12.5,,
Sierra Lever,,Fr,L/DS,5-4,22,1,73,2,0,14,0.143,41,4,3,244,204,23,,,,6.0,1,
Marlena Kinlan,,Fr,DS,5-7,7,1,15,0,0,1,0.000,2,,3,14,18,3,,,,,,
Lolly Adair,,Fr,MB,6-0,5,0,5,0,1,5,-0.200,,,,,,,,1,,0.5,,
Charlotte Dziki,,Fr,OH,5-9,20,13,58,49,32,176,0.097,2,,,28,14,,1,23,,61.5,,
Rachel Cohrs,,Fr,S,5-9,3,0,3,1,1,5,0.000,,,1,,,,,,1,1.0,,
Elizabeth Cella,,Fr,OH,6-0,28,23,105,361,142,978,0.224,10,29,40,264,542,43,6,36,8,414.0,1,
TEAM,,-,-,-,-,-,66,0,0,0,,,1,,,7,17,,,,1.0,,
Totals,,-,-,-,-,-,105,"1,261",526,"3,808",0.193,"1,174",237,208,"1,805","1,931",169,41,374,28,"1,726.0",16,11
Opponent Totals,,-,-,-,-,-,105,"1,180",612,"3,927",0.145,"1,092",169,218,"1,761","2,195",237,33,320,40,"1,542.0",20,11
